product,quarter,department,departement ,targeted_productivity,smv (standart minute value),total work hour ,incentive,idle_time,no_of_workers,product_value_rate
Project E,Quarter3,Junior,3,0.6,22.52,10170,30,0,56.5,0.600291767
Project E,Quarter3,Junior,11,0.6,14.89,10080,38,0,56,0.600273268
Project E,Quarter3,Senior,6,0.8,2.9,900,0,0,5,0.465757576
Project E,Quarter3,Junior,5,0.7,41.19,10440,21,0,58,0.452012539
Project E,Quarter3,Senior,11,0.8,4.15,1260,0,0,7,0.313852814
Project F,Quarter3,Senior,5,0.6,4.15,1440,0,0,8,0.852793561
Project F,Quarter3,Senior,11,0.65,4.15,2160,0,0,12,0.838383838
Project F,Quarter3,Senior,6,0.8,2.9,1800,0,0,10,0.804848485
Project F,Quarter3,Junior,6,0.8,11.41,5490,63,0,30.5,0.800343766
Project F,Quarter3,Junior,7,0.8,48.84,10170,50,0,56.5,0.800128721
Project F,Quarter3,Junior,8,0.8,25.9,10170,38,0,56.5,0.800128721
Project F,Quarter3,Junior,9,0.8,26.16,3660,50,0,59,0.800015009
Project F,Quarter3,Junior,4,0.7,22.52,10170,50,0,56.5,0.7005417
Project F,Quarter3,Junior,10,0.7,22.52,10080,40,0,56,0.700094156
Project F,Quarter3,Senior,7,0.8,2.9,1440,0,0,8,0.692045455
Project F,Quarter3,Junior,12,0.8,26.87,5670,56,0,31.5,0.662255892
Project F,Quarter3,Junior,3,0.65,22.52,10170,35,0,56.5,0.650416734
Project F,Quarter3,Junior,11,0.65,14.89,10260,44,0,57,0.650299575
Project F,Quarter3,Junior,2,0.65,22.94,10170,26,0,56.5,0.650243497
Project F,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.639867424
Project F,Quarter3,Junior,5,0.6,20.4,10440,30,0,58,0.600062696
Project F,Quarter3,Senior,9,0.8,3.94,1800,0,0,10,0.582045455
Project F,Quarter3,Junior,1,0.8,49.1,10350,24,0,57.5,0.403242161
Project F,Quarter3,Senior,10,0.7,3.94,1440,0,0,8,0.235795455
Project A,Quarter3,Senior,4,0.7,4.3,5040,0,0,28,0.977272727
Project A,Quarter3,Senior,9,0.8,3.94,1800,0,0,10,0.964106061
Project A,Quarter3,Senior,5,0.65,4.15,1440,0,0,8,0.958901515
Project A,Quarter3,Junior,6,0.8,11.41,4380,50,0,31,0.800358775
Project A,Quarter3,Junior,8,0.8,25.9,3630,50,0,56.5,0.800162602
Project A,Quarter3,Junior,9,0.8,26.16,10620,63,0,59,0.800117103
Project A,Quarter3,Senior,12,0.8,2.9,1440,0,0,8,0.793844697
Project A,Quarter3,Junior,2,0.7,22.94,10170,38,0,56.5,0.750517565
Project A,Quarter3,Junior,4,0.7,22.52,10260,63,0,57,0.750068049
Project A,Quarter3,Junior,3,0.7,22.52,10170,50,0,56.5,0.750062751
Project A,Quarter3,Junior,10,0.7,22.52,10080,63,0,56,0.750057359
Project A,Quarter3,Junior,11,0.7,14.89,10260,50,0,57,0.700170388
Project A,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.683806818
Project A,Quarter3,Junior,5,0.65,20.4,8280,35,0,58,0.650066445
Project A,Quarter3,Junior,7,0.8,48.84,10260,30,0,57,0.576460393
Project A,Quarter3,Junior,1,0.5,22.94,10170,30,0,56.5,0.549969429
Project A,Quarter3,Senior,10,0.7,3.94,1440,0,0,8,0.538399621
Project A,Quarter3,Senior,11,0.7,4.15,1440,0,0,8,0.409545455
Project A,Quarter3,Junior,12,0.35,15.26,6120,23,0,34,0.35021836
Project C,Quarter3,Senior,5,0.7,4.15,1440,0,0,8,1.033570076
Project C,Quarter3,Junior,6,0.8,11.41,5580,63,0,31,0.800261486
Project C,Quarter3,Junior,8,0.8,25.9,10170,50,0,56.5,0.800128721
Project C,Quarter3,Junior,9,0.8,26.16,10620,63,0,59,0.800117103
Project C,Quarter3,Junior,4,0.7,22.52,10260,63,0,57,0.750068049
Project C,Quarter3,Junior,10,0.7,22.52,10080,63,0,56,0.750057359
Project C,Quarter3,Junior,3,0.7,22.52,8460,50,0,57,0.750037968
Project C,Quarter3,Junior,2,0.7,22.94,10260,50,0,57,0.750031898
Project C,Quarter3,Senior,9,0.8,3.94,1800,0,0,10,0.72830303
Project C,Quarter3,Junior,11,0.7,14.89,10260,50,0,57,0.700170388
Project C,Quarter3,Junior,5,0.7,20.4,10260,50,0,57,0.700063796
Project C,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.639867424
Project C,Quarter3,Junior,12,0.5,15.26,3720,23,0,34,0.500290419
Project C,Quarter3,Junior,7,0.35,22.94,10080,30,0,56,0.400332792
Project C,Quarter3,Senior,11,0.7,4.15,2700,0,0,15,0.362666667
Project D,Quarter3,Senior,4,0.75,4.3,6000,0,0,20,0.978525641
Project D,Quarter3,Senior,2,0.7,3.94,5100,0,0,17,0.912202112
Project D,Quarter3,Junior,4,0.75,22.52,10080,94,0,56,0.900556277
Project D,Quarter3,Junior,6,0.8,11.61,5760,75,0,89,0.850410511
Project D,Quarter3,Senior,9,0.8,3.94,2400,0,0,8,0.827147436
Project D,Quarter3,Junior,8,0.8,25.9,7470,38,0,56.5,0.800436542
Project D,Quarter3,Junior,2,0.7,22.94,10500,60,0,57,0.800415742
Project D,Quarter3,Junior,10,0.7,22.52,10080,75,0,56,0.800020563
Project D,Quarter3,Senior,5,0.7,4.15,2400,0,0,8,0.758173077
Project D,Quarter3,Junior,5,0.7,20.4,10440,50,0,58,0.750344828
Project D,Quarter3,Junior,3,0.7,22.52,10260,63,0,57,0.750068049
Project D,Quarter3,Junior,11,0.7,14.89,10260,50,0,57,0.700170388
Project D,Quarter3,Junior,1,0.65,22.94,10260,34,0,57,0.700029771
Project D,Quarter3,Junior,12,0.6,15.26,6360,23,0,34,0.60017284
Project D,Quarter3,Senior,8,0.8,2.9,2400,0,0,8,0.594871795
Project D,Quarter3,Junior,9,0.8,54.56,4140,29,0,58,0.520237649
Project D,Quarter3,Senior,1,0.65,3.94,2400,0,0,8,0.505128205
Project D,Quarter3,Junior,7,0.5,22.52,10080,23,0,56,0.500241342
Project D,Quarter3,Senior,11,0.7,4.15,2700,0,0,9,0.470769231
Project B,Quarter4,Senior,7,0.6,3.94,6000,0,0,10,0.957638889
Project B,Quarter4,Senior,10,0.75,3.94,8400,0,0,14,0.940701058
Project B,Quarter4,Junior,4,0.75,22.52,10080,81,0,56,0.849983766
Project B,Quarter4,Junior,2,0.7,22.94,10620,60,0,57,0.800302791
Project B,Quarter4,Junior,6,0.8,11.61,6360,63,0,32,0.800191989
Project B,Quarter4,Junior,10,0.75,22.52,10080,55,0,56,0.800020563
Project B,Quarter4,Junior,1,0.7,22.94,12180,63,0,57,0.750162367
Project B,Quarter4,Junior,3,0.7,22.52,10260,63,0,57,0.750068049
Project B,Quarter4,Senior,5,0.7,4.15,9000,0,0,15,0.742901235
Project B,Quarter4,Junior,5,0.7,20.4,10440,40,0,58,0.700250784
Project B,Quarter4,Junior,11,0.7,14.89,10260,50,0,57,0.700170388
Project B,Quarter4,Senior,4,0.75,4.3,9000,0,0,15,0.670216049
Project B,Quarter4,Senior,1,0.7,3.94,15000,0,0,25,0.649662222
Project B,Quarter4,Senior,2,0.7,3.94,15000,0,0,25,0.649662222
Project B,Quarter4,Senior,6,0.8,2.9,4800,0,0,8,0.626822917
Project B,Quarter4,Junior,12,0.6,15.26,6960,23,0,34,0.600436426
Project B,Quarter4,Junior,7,0.6,22.52,10260,23,0,57,0.60041361
Project B,Quarter4,Junior,8,0.8,40.99,10770,30,0,56.5,0.555500132
Project B,Quarter4,Junior,9,0.5,29.12,10440,30,0,58,0.500547544
Project B,Quarter4,Senior,3,0.7,3.94,12000,0,0,20,0.460578704
Project B,Quarter4,Senior,8,0.8,2.9,4800,0,0,8,0.397743056
Project B,Quarter4,Senior,12,0.6,4.08,5400,0,0,9,0.327407407
Project E,Quarter4,Senior,5,0.7,4.15,2700,0,0,15,0.966666667
Project E,Quarter4,Senior,10,0.75,3.94,1800,0,0,10,0.937242424
Project E,Quarter4,Senior,8,0.8,2.9,1620,0,0,9,0.910521886
Project E,Quarter4,Junior,2,0.75,22.94,10260,94,0,57,0.90064806
Project E,Quarter4,Junior,4,0.75,22.52,10260,94,0,57,0.900321106
Project E,Quarter4,Senior,11,0.75,4.15,1800,0,0,10,0.896022727
Project E,Quarter4,Senior,3,0.75,3.94,1440,0,0,8,0.895454545
Project E,Quarter4,Senior,7,0.65,3.94,2160,0,0,12,0.870580808
Project E,Quarter4,Senior,12,0.7,4.08,1620,0,0,9,0.858585859
Project E,Quarter4,Junior,1,0.7,22.94,10260,75,0,57,0.800643806
Project E,Quarter4,Junior,10,0.75,22.52,10080,69,0,56,0.80062987
Project E,Quarter4,Junior,6,0.8,11.61,5640,63,0,32,0.800537143
Project E,Quarter4,Junior,3,0.75,22.52,10260,69,0,57,0.80035194
Project E,Quarter4,Junior,12,0.75,15.26,6120,40,0,34,0.750079323
Project E,Quarter4,Junior,11,0.75,42.97,10260,56,0,57,0.750041201
Project E,Quarter4,Junior,5,0.7,20.4,10440,50,0,58,0.700250784
Project E,Quarter4,Senior,4,0.75,4.3,2160,0,0,12,0.651515152
Project E,Quarter4,Junior,7,0.65,22.52,10170,26,0,56.5,0.650416734
Project E,Quarter4,Junior,9,0.6,29.12,6660,23,0,58,0.600125217
Project E,Quarter4,Senior,2,0.75,3.94,1440,0,0,8,0.578314394
Project E,Quarter4,Senior,1,0.7,3.94,1440,0,0,8,0.578314394
Project E,Quarter4,Junior,8,0.35,15.09,9360,23,0,52,0.34998951
Project E,Quarter4,Senior,9,0.6,3.94,1440,0,0,8,0.261174242
Project F,Quarter4,Senior,5,0.7,4.15,3060,0,0,17,0.973796791
Project F,Quarter4,Senior,2,0.75,3.94,1440,0,0,8,0.970075758
Project F,Quarter4,Senior,1,0.7,3.94,1440,0,0,8,0.970075758
Project F,Quarter4,Senior,3,0.75,3.94,1620,0,0,9,0.961784512
Project F,Quarter4,Senior,10,0.75,3.94,3420,0,0,19,0.955151515
Project F,Quarter4,Senior,4,0.75,4.3,2160,0,0,12,0.952020202
Project F,Quarter4,Junior,4,0.75,22.52,10260,94,0,57,0.900321106
Project F,Quarter4,Junior,2,0.75,22.94,10530,81,0,58.5,0.850223776
Project F,Quarter4,Junior,1,0.7,22.94,10530,75,0,58.5,0.800909609
Project F,Quarter4,Junior,3,0.75,22.52,10350,55,0,57.5,0.800513307
Project F,Quarter4,Junior,6,0.8,11.61,5760,63,0,32,0.800386364
Project F,Quarter4,Junior,10,0.75,22.52,10080,69,0,56,0.800020563
Project F,Quarter4,Senior,7,0.65,3.94,2520,0,0,14,0.749188312
Project F,Quarter4,Junior,7,0.7,22.52,10170,40,0,56.5,0.7005417
Project F,Quarter4,Junior,12,0.7,15.26,6120,40,0,34,0.70043672
Project F,Quarter4,Junior,5,0.7,20.4,10440,50,0,58,0.700250784
Project F,Quarter4,Junior,9,0.65,29.12,10440,26,0,58,0.650407524
Project F,Quarter4,Senior,12,0.7,4.08,1620,0,0,9,0.618181818
Project F,Quarter4,Junior,11,0.75,42.97,10260,40,0,57,0.59114168
Project F,Quarter4,Junior,8,0.5,15.09,720,23,0,52,0.500061916
Project F,Quarter4,Senior,8,0.8,2.9,720,0,0,4,0.329545455
Project A,Quarter4,Senior,3,0.75,3.94,1800,0,0,10,1.059621212
Project A,Quarter4,Senior,10,0.75,3.94,3780,0,0,21,0.997792208
Project A,Quarter4,Senior,4,0.75,4.3,2160,0,0,12,0.963699495
Project A,Quarter4,Senior,5,0.7,4.15,2700,0,0,15,0.959191919
Project A,Quarter4,Senior,2,0.75,3.94,1800,0,0,10,0.910378788
Project A,Quarter4,Senior,1,0.7,3.94,1800,0,0,10,0.910378788
Project A,Quarter4,Junior,4,0.8,22.52,10170,60,0,56.5,0.850312684
Project A,Quarter4,Junior,6,0.8,11.61,5760,50,0,32,0.800386364
Project A,Quarter4,Junior,3,0.75,22.52,10260,69,0,57,0.80035194
Project A,Quarter4,Junior,2,0.75,22.94,10260,55,0,57,0.800034024
Project A,Quarter4,Junior,1,0.7,22.94,10440,60,0,58,0.800023511
Project A,Quarter4,Junior,10,0.75,22.52,10080,55,0,56,0.800020563
Project A,Quarter4,Senior,12,0.7,4.08,1620,0,0,9,0.769292929
Project A,Quarter4,Junior,5,0.75,20.4,10320,56,0,58,0.750031447
Project A,Quarter4,Junior,9,0.7,29.12,10440,40,0,58,0.70061442
Project A,Quarter4,Junior,12,0.7,15.26,6120,40,0,34,0.70043672
Project A,Quarter4,Senior,7,0.65,3.94,1440,0,0,8,0.646306818
Project A,Quarter4,Junior,8,0.6,15.09,360,23,0,52,0.600143365
Project A,Quarter4,Junior,11,0.35,28.08,10260,23,0,57,0.350066986
Project C,Quarter4,Junior,2,0.75,22.52,6840,119,0,57,1.000230409
Project C,Quarter4,Junior,3,0.75,22.52,6840,119,0,57,1.000230409
Project C,Quarter4,Senior,10,0.8,3.94,1440,0,0,12,0.979527778
Project C,Quarter4,Senior,4,0.8,4.3,1440,0,0,12,0.940625
Project C,Quarter4,Senior,5,0.5,4.15,1440,0,0,12,0.926388889
Project C,Quarter4,Junior,10,0.8,22.52,6720,70,0,56,0.900129762
Project C,Quarter4,Senior,3,0.75,3.94,1440,0,0,12,0.861875
Project C,Quarter4,Junior,4,0.8,22.52,6780,60,0,56.5,0.850312684
Project C,Quarter4,Senior,8,0.65,3.94,960,0,0,8,0.845458333
Project C,Quarter4,Senior,12,0.7,4.15,1080,0,0,9,0.823555556
Project C,Quarter4,Senior,7,0.5,4.15,960,0,0,8,0.803541667
Project C,Quarter4,Junior,1,0.75,22.94,6960,55,0,58,0.800263218
Project C,Quarter4,Senior,2,0.75,3.94,1200,0,0,10,0.788
Project C,Quarter4,Senior,1,0.75,3.94,1200,0,0,10,0.77815
Project C,Quarter4,Junior,9,0.7,29.12,6960,50,0,58,0.700386207
Project C,Quarter4,Junior,12,0.7,15.26,4080,40,0,34,0.700164706
Project C,Quarter4,Junior,8,0.65,15.09,240,23,0,52,0.650307143
Project C,Quarter4,Junior,6,0.8,30.4,3840,34,0,32,0.622828125
Project C,Quarter4,Senior,6,0.8,2.9,960,0,0,8,0.6225
Project C,Quarter4,Junior,5,0.5,20.79,6960,30,0,58,0.500035345
Project C,Quarter4,Junior,11,0.5,48.18,6480,23,0,54,0.37046657
Project D,Quarter4,Junior,2,0.8,22.52,6840,90,0,57,1.000230409
Project D,Quarter4,Junior,3,0.8,22.52,6840,113,0,57,1.000230409
Project D,Quarter4,Senior,6,0.35,2.9,1800,0,0,15,0.977555556
Project D,Quarter4,Senior,1,0.75,3.94,1200,0,0,10,0.9456
Project D,Quarter4,Senior,2,0.8,3.94,1800,0,0,15,0.902222222
Project D,Quarter4,Junior,10,0.8,22.52,6720,60,0,56,0.850532143
Project D,Quarter4,Junior,1,0.75,22.94,6960,81,0,58,0.850362069
Project D,Quarter4,Senior,10,0.8,3.94,1200,0,0,10,0.840533333
Project D,Quarter4,Junior,5,0.6,20.79,6960,88,0,58,0.800534483
Project D,Quarter4,Junior,4,0.8,22.52,6780,50,0,56.5,0.800489676
Project D,Quarter4,Senior,12,0.75,4.08,1080,0,0,9,0.755555556
Project D,Quarter4,Junior,9,0.7,29.12,6960,63,0,58,0.750593103
Project D,Quarter4,Junior,12,0.75,15.26,3600,45,0,35,0.750283333
Project D,Quarter4,Senior,4,0.8,4.3,1440,0,0,12,0.722638889
Project D,Quarter4,Senior,8,0.65,4.15,960,0,0,8,0.553333333
Project D,Quarter4,Junior,11,0.5,20.1,5880,46,0,54,0.500567308
Project D,Quarter4,Junior,8,0.7,38.09,6240,0,0,52,0.467693269
Project D,Quarter4,Junior,6,0.35,18.79,1800,23,0,32,0.437995338
Project D,Quarter4,Senior,7,0.6,3.94,960,0,0,8,0.406354167
Project D,Quarter4,Junior,7,0.6,23.54,6600,0,0,55,0.285333333
Project D,Quarter4,Senior,11,0.5,2.9,960,0,0,8,0.259375
Project B,Quarter5,Junior,2,0.8,22.52,6840,113,0,57,1.000230409
Project B,Quarter5,Senior,4,0.8,4.3,1200,0,0,10,0.989
Project B,Quarter5,Junior,3,0.8,22.52,6840,100,0,57,0.950185965
Project B,Quarter5,Junior,4,0.8,22.52,6900,88,0,57.5,0.9008
Project B,Quarter5,Junior,10,0.8,22.52,6720,88,0,56,0.900129762
Project B,Quarter5,Senior,6,0.5,2.9,1200,0,0,10,0.899
Project B,Quarter5,Senior,8,0.65,4.15,960,0,0,8,0.877552083
Project B,Quarter5,Senior,11,0.6,2.9,960,0,0,8,0.864583333
Project B,Quarter5,Senior,10,0.8,3.94,1200,0,0,10,0.85695
Project B,Quarter5,Senior,1,0.75,3.94,1200,0,0,10,0.853666667
Project B,Quarter5,Junior,1,0.75,22.94,6960,81,0,58,0.850362069
Project B,Quarter5,Junior,9,0.7,29.12,6960,53,0,58,0.850170115
Project B,Quarter5,Junior,5,0.65,20.79,7080,81,0,59,0.800473729
Project B,Quarter5,Senior,2,0.8,3.94,1200,0,0,10,0.773333333
Project B,Quarter5,Junior,12,0.75,15.26,4200,45,0,35,0.750646667
Project B,Quarter5,Senior,12,0.75,4.08,1080,0,0,9,0.634666667
Project B,Quarter5,Junior,11,0.6,20.1,4320,46,0,51,0.60059761
Project B,Quarter5,Junior,6,0.5,18.79,3960,23,0,33,0.500117677
Project B,Quarter5,Senior,3,0.8,3.94,960,0,0,8,0.4925
Project B,Quarter5,Junior,7,0.65,23.54,6600,0,0,55,0.48792
Project E,Quarter5,Junior,3,0.8,22.52,6960,113,0,58,1.000457471
Project E,Quarter5,Junior,2,0.8,22.52,6840,113,0,57,1.000230409
Project E,Quarter5,Senior,2,0.8,3.94,1200,0,0,10,0.971866667
Project E,Quarter5,Senior,3,0.8,3.94,960,0,0,8,0.971866667
Project E,Quarter5,Senior,4,0.8,3.94,1200,0,0,10,0.971866667
Project E,Quarter5,Senior,10,0.8,3.94,1200,0,0,10,0.971866667
Project E,Quarter5,Senior,1,0.75,3.94,1800,0,0,15,0.971866667
Project E,Quarter5,Senior,9,0.75,3.94,240,0,0,2,0.971866667
Project E,Quarter5,Senior,12,0.75,4.08,1080,0,0,9,0.971866667
Project E,Quarter5,Senior,5,0.7,3.94,240,0,0,2,0.971866667
Project E,Quarter5,Senior,7,0.7,3.94,1200,0,0,10,0.971866667
Project E,Quarter5,Senior,8,0.65,3.94,960,0,0,8,0.971866667
Project E,Quarter5,Senior,11,0.65,3.94,600,0,0,5,0.971866667
Project E,Quarter5,Senior,6,0.6,3.94,1200,0,0,10,0.971866667
Project E,Quarter5,Junior,10,0.8,22.52,6720,93,0,56,0.920236905
Project E,Quarter5,Junior,4,0.8,22.52,6660,88,0,57.5,0.900537069
Project E,Quarter5,Junior,9,0.75,29.12,6840,81,0,57,0.850610526
Project E,Quarter5,Junior,1,0.75,22.94,6960,81,0,58,0.850362069
Project E,Quarter5,Junior,12,0.75,15.26,4200,45,0,35,0.750646667
Project E,Quarter5,Junior,5,0.7,50.89,5880,56,0,59,0.656763743
Project E,Quarter5,Junior,11,0.65,20.1,6480,49,0,54,0.650148148
Project E,Quarter5,Junior,6,0.6,18.79,3960,23,0,33,0.600710606
Project E,Quarter5,Junior,7,0.7,23.54,6720,0,0,56,0.388830357
Project E,Quarter5,Junior,8,0.5,23.54,6480,0,0,54,0.286984568
Project F,Quarter1,Senior,8,0.65,4.15,960,0,0,8,1.0115625
Project F,Quarter1,Junior,2,0.8,22.52,6900,113,0,57.5,1.000671304
Project F,Quarter1,Junior,1,0.8,22.94,3060,113,0,58.5,1.000402055
Project F,Quarter1,Senior,1,0.75,3.94,2280,0,0,19,0.950438596
Project F,Quarter1,Junior,3,0.8,22.52,6840,100,0,57,0.950185965
Project F,Quarter1,Senior,2,0.8,3.94,1200,0,0,10,0.912766667
Project F,Quarter1,Senior,7,0.7,3.94,2160,0,0,18,0.892194444
Project F,Quarter1,Senior,10,0.8,3.94,1200,0,0,10,0.8865
Project F,Quarter1,Junior,10,0.8,22.52,6720,75,0,56,0.850532143
Project F,Quarter1,Junior,4,0.8,22.52,7020,60,0,58.5,0.85011396
Project F,Quarter1,Senior,4,0.8,4.3,1440,0,0,12,0.845069444
Project F,Quarter1,Junior,9,0.75,29.12,6960,45,0,58,0.750593103
Project F,Quarter1,Junior,12,0.75,15.26,1440,45,0,35,0.750450658
Project F,Quarter1,Senior,12,0.75,4.08,1080,0,0,9,0.702666667
Project F,Quarter1,Junior,11,0.7,20.1,6120,75,0,54,0.700508929
Project F,Quarter1,Junior,6,0.65,18.79,3960,26,0,33,0.651007071
Project F,Quarter1,Junior,8,0.6,24.26,6600,0,0,55,0.466821212
Project F,Quarter1,Junior,7,0.7,24.26,6720,0,0,56,0.411553571
Project F,Quarter1,Senior,6,0.6,2.9,1200,0,0,10,0.314166667
Project A,Quarter1,Junior,1,0.8,22.94,7020,113,0,58.5,1.000602279
Project A,Quarter1,Senior,9,0.75,3.94,960,0,0,8,0.994270833
Project A,Quarter1,Junior,2,0.8,22.52,7020,88,0,58.5,0.900158405
Project A,Quarter1,Junior,3,0.8,22.52,6840,70,0,57,0.90014152
Project A,Quarter1,Junior,10,0.8,22.52,6720,88,0,56,0.900129762
Project A,Quarter1,Senior,10,0.8,3.94,1200,0,0,10,0.85695
Project A,Quarter1,Senior,4,0.8,4.3,1440,0,0,12,0.809236111
Project A,Quarter1,Junior,12,0.8,15.26,3600,63,0,35,0.800401961
Project A,Quarter1,Junior,4,0.8,22.52,5940,50,0,56.5,0.800393224
Project A,Quarter1,Junior,9,0.75,29.12,6960,55,0,58,0.799963218
Project A,Quarter1,Senior,12,0.75,4.08,1080,0,0,9,0.740444444
Project A,Quarter1,Junior,11,0.7,20.55,6480,60,0,54,0.700398148
Project A,Quarter1,Junior,6,0.7,18.79,3960,30,0,33,0.700354545
Project A,Quarter1,Senior,8,0.65,4.15,960,0,0,8,0.561979167
Project A,Quarter1,Senior,1,0.75,3.94,2280,0,0,19,0.504596491
Project A,Quarter1,Junior,5,0.5,30.1,6960,0,0,58,0.500801724
Project A,Quarter1,Junior,7,0.7,24.26,6720,0,0,56,0.295307738
Project A,Quarter1,Senior,6,0.6,2.9,1200,0,0,10,0.280333333
Project A,Quarter1,Junior,8,0.65,24.26,6600,0,0,55,0.260978788
Project C,Quarter1,Senior,2,0.8,3.94,2400,0,0,20,1.001416667
Project C,Quarter1,Junior,1,0.8,22.52,6900,113,0,57.5,1.000018551
Project C,Quarter1,Junior,10,0.8,22.52,6720,90,0,56,0.999995238
Project C,Quarter1,Senior,1,0.8,3.94,1200,0,0,10,0.99485
Project C,Quarter1,Senior,8,0.7,4.15,960,0,0,8,0.976979167
Project C,Quarter1,Junior,3,0.8,22.52,6840,100,0,57,0.950185965
Project C,Quarter1,Junior,2,0.8,22.52,6960,100,0,58,0.949981609
Project C,Quarter1,Senior,9,0.75,3.94,1320,0,0,11,0.919954545
Project C,Quarter1,Junior,4,0.8,22.52,5460,63,0,56.5,0.800434622
Project C,Quarter1,Junior,12,0.8,15.26,2040,50,0,35,0.800259023
